19:03:30 | INFO | peft_train | [3140/40000] loss=0.0399 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.12s/it)
19:03:33 | INFO | peft_train | [3160/40000] loss=0.0334 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.12s/it)
19:03:35 | INFO | peft_train | [3180/40000] loss=0.0330 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.12s/it)
19:03:38 | INFO | peft_train | [3200/40000] loss=0.0484 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.12s/it)
19:03:40 | INFO | peft_train | [3220/40000] loss=0.0535 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.12s/it)
19:03:43 | INFO | peft_train | [3240/40000] loss=0.0369 lr_core=4.93e-04 lr_vlm=4.93e-04 (0.12s/it)
19:03:45 | INFO | peft_train | [3260/40000] loss=0.0349 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.12s/it)
19:03:47 | INFO | peft_train | [3280/40000] loss=0.0316 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.12s/it)
19:03:50 | INFO | peft_train | [3300/40000] loss=0.0302 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.13s/it)
19:03:52 | INFO | peft_train | [3320/40000] loss=0.0421 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.13s/it)
19:03:55 | INFO | peft_train | [3340/40000] loss=0.0410 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.13s/it)
19:03:58 | INFO | peft_train | [3360/40000] loss=0.0340 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.13s/it)
19:04:00 | INFO | peft_train | [3380/40000] loss=0.0414 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.12s/it)
19:04:03 | INFO | peft_train | [3400/40000] loss=0.0370 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.12s/it)
19:04:05 | INFO | peft_train | [3420/40000] loss=0.0284 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.13s/it)
19:04:08 | INFO | peft_train | [3440/40000] loss=0.0349 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.12s/it)
19:04:10 | INFO | peft_train | [3460/40000] loss=0.0326 lr_core=4.92e-04 lr_vlm=4.92e-04 (0.12s/it)
19:04:12 | INFO | peft_train | [3480/40000] loss=0.0311 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.12s/it)
19:04:15 | INFO | peft_train | [3500/40000] loss=0.0366 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.12s/it)
19:04:17 | INFO | peft_train | [3520/40000] loss=0.0384 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.12s/it)
19:04:20 | INFO | peft_train | [3540/40000] loss=0.0335 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.12s/it)
19:04:22 | INFO | peft_train | [3560/40000] loss=0.0392 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.13s/it)
19:04:25 | INFO | peft_train | [3580/40000] loss=0.0371 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.13s/it)
19:04:27 | INFO | peft_train | [3600/40000] loss=0.0456 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.12s/it)
19:04:30 | INFO | peft_train | [3620/40000] loss=0.0322 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.12s/it)
19:04:32 | INFO | peft_train | [3640/40000] loss=0.0321 lr_core=4.91e-04 lr_vlm=4.91e-04 (0.12s/it)
19:04:35 | INFO | peft_train | [3660/40000] loss=0.0408 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
19:04:37 | INFO | peft_train | [3680/40000] loss=0.0385 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
19:04:40 | INFO | peft_train | [3700/40000] loss=0.0411 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
19:04:42 | INFO | peft_train | [3720/40000] loss=0.0333 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
19:04:45 | INFO | peft_train | [3740/40000] loss=0.0354 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
19:04:47 | INFO | peft_train | [3760/40000] loss=0.0335 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
19:04:50 | INFO | peft_train | [3780/40000] loss=0.0301 lr_core=4.90e-04 lr_vlm=4.90e-04 (0.12s/it)
